"Year","Area_type","Area_code","Area_description","Ethnic_group_total_responses_code","Ethnic_group_total_responses_description","Census_usually_resident_population_count","Ethnic_group_total_responses_percent"
2018,"Statistical Area 2","174300","Waihou-Manawaru","5","Middle Eastern/Latin American/African","6","  0.5"
2018,"Statistical Area 2","174300","Waihou-Manawaru","6","Other ethnicity","36","  3.0"
2018,"Statistical Area 2","174300","Waihou-Manawaru","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","174300","Waihou-Manawaru","Total","Total","1209",".."
2018,"Statistical Area 2","174300","Waihou-Manawaru","Total stated","Total stated","1209","100.0"
2018,"Statistical Area 2","174400","Waitoa-Ngarua","1","European","927"," 79.2"
2018,"Statistical Area 2","174400","Waitoa-Ngarua","2","Maori","156"," 13.3"
2018,"Statistical Area 2","174400","Waitoa-Ngarua","3","Pacific peoples","36","  3.1"
2018,"Statistical Area 2","174400","Waitoa-Ngarua","4","Asian","114","  9.7"
2018,"Statistical Area 2","174400","Waitoa-Ngarua","5","Middle Eastern/Latin American/African","30","  2.6"
2018,"Statistical Area 2","174400","Waitoa-Ngarua","6","Other ethnicity","9","  0.8"
2018,"Statistical Area 2","174400","Waitoa-Ngarua","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","174400","Waitoa-Ngarua","Total","Total","1170",".."
2018,"Statistical Area 2","174400","Waitoa-Ngarua","Total stated","Total stated","1170","100.0"
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","1","European","1071"," 83.8"
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","2","Maori","201"," 15.7"
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","3","Pacific peoples","15","  1.2"
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","4","Asian","57","  4.5"
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","5","Middle Eastern/Latin American/African","6","  0.5"
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","6","Other ethnicity","3","  0.2"
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","Total","Total","1278",".."
2018,"Statistical Area 2","174500","Richmond Downs-Wardville","Total stated","Total stated","1278","100.0"
2018,"Statistical Area 2","174600","Waharoa-Peria","1","European","1029"," 67.7"
2018,"Statistical Area 2","174600","Waharoa-Peria","2","Maori","552"," 36.3"
2018,"Statistical Area 2","174600","Waharoa-Peria","3","Pacific peoples","39","  2.6"
2018,"Statistical Area 2","174600","Waharoa-Peria","4","Asian","63","  4.1"
2018,"Statistical Area 2","174600","Waharoa-Peria","5","Middle Eastern/Latin American/African","9","  0.6"
2018,"Statistical Area 2","174600","Waharoa-Peria","6","Other ethnicity","6","  0.4"
2018,"Statistical Area 2","174600","Waharoa-Peria","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","174600","Waharoa-Peria","Total","Total","1521",".."
2018,"Statistical Area 2","174600","Waharoa-Peria","Total stated","Total stated","1521","100.0"
2018,"Statistical Area 2","174700","Okauia","1","European","906"," 87.0"
2018,"Statistical Area 2","174700","Okauia","2","Maori","144"," 13.8"
2018,"Statistical Area 2","174700","Okauia","3","Pacific peoples","21","  2.0"
2018,"Statistical Area 2","174700","Okauia","4","Asian","51","  4.9"
2018,"Statistical Area 2","174700","Okauia","5","Middle Eastern/Latin American/African","9","  0.9"
2018,"Statistical Area 2","174700","Okauia","6","Other ethnicity","9","  0.9"
2018,"Statistical Area 2","174700","Okauia","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","174700","Okauia","Total","Total","1041",".."
2018,"Statistical Area 2","174700","Okauia","Total stated","Total stated","1041","100.0"
2018,"Statistical Area 2","174800","Hinuera","1","European","1056"," 91.7"
2018,"Statistical Area 2","174800","Hinuera","2","Maori","114","  9.9"
2018,"Statistical Area 2","174800","Hinuera","3","Pacific peoples","9","  0.8"
2018,"Statistical Area 2","174800","Hinuera","4","Asian","42","  3.6"
2018,"Statistical Area 2","174800","Hinuera","5","Middle Eastern/Latin American/African","12","  1.0"
2018,"Statistical Area 2","174800","Hinuera","6","Other ethnicity","9","  0.8"
2018,"Statistical Area 2","174800","Hinuera","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","174800","Hinuera","Total","Total","1152",".."
2018,"Statistical Area 2","174800","Hinuera","Total stated","Total stated","1152","100.0"
2018,"Statistical Area 2","174900","Matamata North","1","European","2652"," 83.6"
2018,"Statistical Area 2","174900","Matamata North","2","Maori","474"," 14.9"
2018,"Statistical Area 2","174900","Matamata North","3","Pacific peoples","36","  1.1"
2018,"Statistical Area 2","174900","Matamata North","4","Asian","210","  6.6"
2018,"Statistical Area 2","174900","Matamata North","5","Middle Eastern/Latin American/African","21","  0.7"
2018,"Statistical Area 2","174900","Matamata North","6","Other ethnicity","27","  0.9"
2018,"Statistical Area 2","174900","Matamata North","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","174900","Matamata North","Total","Total","3174",".."
2018,"Statistical Area 2","174900","Matamata North","Total stated","Total stated","3174","100.0"
2018,"Statistical Area 2","175000","Matamata South","1","European","3942"," 85.1"
2018,"Statistical Area 2","175000","Matamata South","2","Maori","753"," 16.3"
2018,"Statistical Area 2","175000","Matamata South","3","Pacific peoples","93","  2.0"
2018,"Statistical Area 2","175000","Matamata South","4","Asian","252","  5.4"
2018,"Statistical Area 2","175000","Matamata South","5","Middle Eastern/Latin American/African","18","  0.4"
2018,"Statistical Area 2","175000","Matamata South","6","Other ethnicity","45","  1.0"
2018,"Statistical Area 2","175000","Matamata South","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175000","Matamata South","Total","Total","4632",".."
2018,"Statistical Area 2","175000","Matamata South","Total stated","Total stated","4632","100.0"
2018,"Statistical Area 2","175100","Te Poi","1","European","708"," 84.3"
2018,"Statistical Area 2","175100","Te Poi","2","Maori","156"," 18.6"
2018,"Statistical Area 2","175100","Te Poi","3","Pacific peoples","21","  2.5"
2018,"Statistical Area 2","175100","Te Poi","4","Asian","51","  6.1"
2018,"Statistical Area 2","175100","Te Poi","5","Middle Eastern/Latin American/African","15","  1.8"
2018,"Statistical Area 2","175100","Te Poi","6","Other ethnicity","9","  1.1"
2018,"Statistical Area 2","175100","Te Poi","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175100","Te Poi","Total","Total","840",".."
2018,"Statistical Area 2","175100","Te Poi","Total stated","Total stated","840","100.0"
2018,"Statistical Area 2","175200","Te Rapa North","1","European","162"," 90.0"
2018,"Statistical Area 2","175200","Te Rapa North","2","Maori","33"," 18.3"
2018,"Statistical Area 2","175200","Te Rapa North","3","Pacific peoples","0","  0.0"
2018,"Statistical Area 2","175200","Te Rapa North","4","Asian","9","  5.0"
2018,"Statistical Area 2","175200","Te Rapa North","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","175200","Te Rapa North","6","Other ethnicity","3","  1.7"
2018,"Statistical Area 2","175200","Te Rapa North","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175200","Te Rapa North","Total","Total","180",".."
2018,"Statistical Area 2","175200","Te Rapa North","Total stated","Total stated","180","100.0"
2018,"Statistical Area 2","175300","Flagstaff North","1","European","1890"," 59.2"
2018,"Statistical Area 2","175300","Flagstaff North","2","Maori","261","  8.2"
2018,"Statistical Area 2","175300","Flagstaff North","3","Pacific peoples","45","  1.4"
2018,"Statistical Area 2","175300","Flagstaff North","4","Asian","1140"," 35.7"
2018,"Statistical Area 2","175300","Flagstaff North","5","Middle Eastern/Latin American/African","72","  2.3"
2018,"Statistical Area 2","175300","Flagstaff North","6","Other ethnicity","51","  1.6"
2018,"Statistical Area 2","175300","Flagstaff North","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175300","Flagstaff North","Total","Total","3192",".."
2018,"Statistical Area 2","175300","Flagstaff North","Total stated","Total stated","3192","100.0"
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","1","European","411"," 75.3"
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","2","Maori","81"," 14.8"
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","3","Pacific peoples","9","  1.6"
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","4","Asian","84"," 15.4"
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","5","Middle Eastern/Latin American/African","6","  1.1"
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","6","Other ethnicity","15","  2.7"
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","Total","Total","546",".."
2018,"Statistical Area 2","175400","Rotokauri-Waiwhakareke","Total stated","Total stated","546","100.0"
2018,"Statistical Area 2","175500","Flagstaff South","1","European","1839"," 65.0"
2018,"Statistical Area 2","175500","Flagstaff South","2","Maori","273","  9.7"
2018,"Statistical Area 2","175500","Flagstaff South","3","Pacific peoples","39","  1.4"
2018,"Statistical Area 2","175500","Flagstaff South","4","Asian","870"," 30.8"
2018,"Statistical Area 2","175500","Flagstaff South","5","Middle Eastern/Latin American/African","42","  1.5"
2018,"Statistical Area 2","175500","Flagstaff South","6","Other ethnicity","39","  1.4"
2018,"Statistical Area 2","175500","Flagstaff South","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175500","Flagstaff South","Total","Total","2829",".."
2018,"Statistical Area 2","175500","Flagstaff South","Total stated","Total stated","2829","100.0"
2018,"Statistical Area 2","175600","Rototuna North","1","European","429"," 47.0"
2018,"Statistical Area 2","175600","Rototuna North","2","Maori","129"," 14.1"
2018,"Statistical Area 2","175600","Rototuna North","3","Pacific peoples","36","  3.9"
2018,"Statistical Area 2","175600","Rototuna North","4","Asian","381"," 41.8"
2018,"Statistical Area 2","175600","Rototuna North","5","Middle Eastern/Latin American/African","39","  4.3"
2018,"Statistical Area 2","175600","Rototuna North","6","Other ethnicity","6","  0.7"
2018,"Statistical Area 2","175600","Rototuna North","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175600","Rototuna North","Total","Total","912",".."
2018,"Statistical Area 2","175600","Rototuna North","Total stated","Total stated","912","100.0"
2018,"Statistical Area 2","175700","Pukete West","1","European","1653"," 73.7"
2018,"Statistical Area 2","175700","Pukete West","2","Maori","546"," 24.3"
2018,"Statistical Area 2","175700","Pukete West","3","Pacific peoples","144","  6.4"
2018,"Statistical Area 2","175700","Pukete West","4","Asian","240"," 10.7"
2018,"Statistical Area 2","175700","Pukete West","5","Middle Eastern/Latin American/African","21","  0.9"
2018,"Statistical Area 2","175700","Pukete West","6","Other ethnicity","36","  1.6"
2018,"Statistical Area 2","175700","Pukete West","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175700","Pukete West","Total","Total","2244",".."
2018,"Statistical Area 2","175700","Pukete West","Total stated","Total stated","2244","100.0"
2018,"Statistical Area 2","175800","Flagstaff East","1","European","2910"," 76.4"
2018,"Statistical Area 2","175800","Flagstaff East","2","Maori","354","  9.3"
2018,"Statistical Area 2","175800","Flagstaff East","3","Pacific peoples","72","  1.9"
2018,"Statistical Area 2","175800","Flagstaff East","4","Asian","669"," 17.6"
2018,"Statistical Area 2","175800","Flagstaff East","5","Middle Eastern/Latin American/African","69","  1.8"
2018,"Statistical Area 2","175800","Flagstaff East","6","Other ethnicity","54","  1.4"
2018,"Statistical Area 2","175800","Flagstaff East","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175800","Flagstaff East","Total","Total","3810",".."
2018,"Statistical Area 2","175800","Flagstaff East","Total stated","Total stated","3810","100.0"
2018,"Statistical Area 2","175900","Rototuna Central","1","European","3102"," 64.9"
2018,"Statistical Area 2","175900","Rototuna Central","2","Maori","510"," 10.7"
2018,"Statistical Area 2","175900","Rototuna Central","3","Pacific peoples","105","  2.2"
2018,"Statistical Area 2","175900","Rototuna Central","4","Asian","1374"," 28.8"
2018,"Statistical Area 2","175900","Rototuna Central","5","Middle Eastern/Latin American/African","135","  2.8"
2018,"Statistical Area 2","175900","Rototuna Central","6","Other ethnicity","63","  1.3"
2018,"Statistical Area 2","175900","Rototuna Central","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","175900","Rototuna Central","Total","Total","4779",".."
2018,"Statistical Area 2","175900","Rototuna Central","Total stated","Total stated","4779","100.0"
2018,"Statistical Area 2","176000","Pukete East","1","European","1911"," 80.9"
2018,"Statistical Area 2","176000","Pukete East","2","Maori","357"," 15.1"
2018,"Statistical Area 2","176000","Pukete East","3","Pacific peoples","81","  3.4"
2018,"Statistical Area 2","176000","Pukete East","4","Asian","255"," 10.8"
2018,"Statistical Area 2","176000","Pukete East","5","Middle Eastern/Latin American/African","24","  1.0"
2018,"Statistical Area 2","176000","Pukete East","6","Other ethnicity","24","  1.0"
2018,"Statistical Area 2","176000","Pukete East","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176000","Pukete East","Total","Total","2361",".."
2018,"Statistical Area 2","176000","Pukete East","Total stated","Total stated","2361","100.0"
2018,"Statistical Area 2","176100","Te Manatu","1","European","2100"," 57.2"
2018,"Statistical Area 2","176100","Te Manatu","2","Maori","426"," 11.6"
2018,"Statistical Area 2","176100","Te Manatu","3","Pacific peoples","105","  2.9"
2018,"Statistical Area 2","176100","Te Manatu","4","Asian","1230"," 33.5"
2018,"Statistical Area 2","176100","Te Manatu","5","Middle Eastern/Latin American/African","144","  3.9"
2018,"Statistical Area 2","176100","Te Manatu","6","Other ethnicity","51","  1.4"
2018,"Statistical Area 2","176100","Te Manatu","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176100","Te Manatu","Total","Total","3672",".."
2018,"Statistical Area 2","176100","Te Manatu","Total stated","Total stated","3672","100.0"
2018,"Statistical Area 2","176200","Rototuna South","1","European","3138"," 70.9"
2018,"Statistical Area 2","176200","Rototuna South","2","Maori","447"," 10.1"
2018,"Statistical Area 2","176200","Rototuna South","3","Pacific peoples","105","  2.4"
2018,"Statistical Area 2","176200","Rototuna South","4","Asian","996"," 22.5"
2018,"Statistical Area 2","176200","Rototuna South","5","Middle Eastern/Latin American/African","105","  2.4"
2018,"Statistical Area 2","176200","Rototuna South","6","Other ethnicity","60","  1.4"
2018,"Statistical Area 2","176200","Rototuna South","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176200","Rototuna South","Total","Total","4428",".."
2018,"Statistical Area 2","176200","Rototuna South","Total stated","Total stated","4428","100.0"
2018,"Statistical Area 2","176300","Te Rapa South","1","European","81"," 71.1"
2018,"Statistical Area 2","176300","Te Rapa South","2","Maori","30"," 26.3"
2018,"Statistical Area 2","176300","Te Rapa South","3","Pacific peoples","6","  5.3"
2018,"Statistical Area 2","176300","Te Rapa South","4","Asian","15"," 13.2"
2018,"Statistical Area 2","176300","Te Rapa South","5","Middle Eastern/Latin American/African","0","  0.0"
2018,"Statistical Area 2","176300","Te Rapa South","6","Other ethnicity","0","  0.0"
2018,"Statistical Area 2","176300","Te Rapa South","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176300","Te Rapa South","Total","Total","114",".."
2018,"Statistical Area 2","176300","Te Rapa South","Total stated","Total stated","114","100.0"
2018,"Statistical Area 2","176400","Saint Andrews West","1","European","1947"," 67.6"
2018,"Statistical Area 2","176400","Saint Andrews West","2","Maori","852"," 29.6"
2018,"Statistical Area 2","176400","Saint Andrews West","3","Pacific peoples","183","  6.4"
2018,"Statistical Area 2","176400","Saint Andrews West","4","Asian","339"," 11.8"
2018,"Statistical Area 2","176400","Saint Andrews West","5","Middle Eastern/Latin American/African","39","  1.4"
2018,"Statistical Area 2","176400","Saint Andrews West","6","Other ethnicity","39","  1.4"
2018,"Statistical Area 2","176400","Saint Andrews West","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176400","Saint Andrews West","Total","Total","2880",".."
2018,"Statistical Area 2","176400","Saint Andrews West","Total stated","Total stated","2880","100.0"
2018,"Statistical Area 2","176500","Saint Andrews East","1","European","1992"," 80.3"
2018,"Statistical Area 2","176500","Saint Andrews East","2","Maori","396"," 16.0"
2018,"Statistical Area 2","176500","Saint Andrews East","3","Pacific peoples","87","  3.5"
2018,"Statistical Area 2","176500","Saint Andrews East","4","Asian","258"," 10.4"
2018,"Statistical Area 2","176500","Saint Andrews East","5","Middle Eastern/Latin American/African","24","  1.0"
2018,"Statistical Area 2","176500","Saint Andrews East","6","Other ethnicity","27","  1.1"
2018,"Statistical Area 2","176500","Saint Andrews East","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176500","Saint Andrews East","Total","Total","2481",".."
2018,"Statistical Area 2","176500","Saint Andrews East","Total stated","Total stated","2481","100.0"
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","1","European","1959"," 82.2"
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","2","Maori","306"," 12.8"
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","3","Pacific peoples","72","  3.0"
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","4","Asian","294"," 12.3"
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","5","Middle Eastern/Latin American/African","21","  0.9"
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","6","Other ethnicity","27","  1.1"
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","Total","Total","2382",".."
2018,"Statistical Area 2","176600","Queenwood (Hamilton City)","Total stated","Total stated","2382","100.0"
2018,"Statistical Area 2","176700","St James","1","European","1368"," 70.6"
2018,"Statistical Area 2","176700","St James","2","Maori","198"," 10.2"
2018,"Statistical Area 2","176700","St James","3","Pacific peoples","39","  2.0"
2018,"Statistical Area 2","176700","St James","4","Asian","483"," 24.9"
2018,"Statistical Area 2","176700","St James","5","Middle Eastern/Latin American/African","36","  1.9"
2018,"Statistical Area 2","176700","St James","6","Other ethnicity","21","  1.1"
2018,"Statistical Area 2","176700","St James","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176700","St James","Total","Total","1938",".."
2018,"Statistical Area 2","176700","St James","Total stated","Total stated","1938","100.0"
2018,"Statistical Area 2","176800","Crawshaw","1","European","1689"," 52.0"
2018,"Statistical Area 2","176800","Crawshaw","2","Maori","1632"," 50.2"
2018,"Statistical Area 2","176800","Crawshaw","3","Pacific peoples","384"," 11.8"
2018,"Statistical Area 2","176800","Crawshaw","4","Asian","270","  8.3"
2018,"Statistical Area 2","176800","Crawshaw","5","Middle Eastern/Latin American/African","72","  2.2"
2018,"Statistical Area 2","176800","Crawshaw","6","Other ethnicity","21","  0.6"
2018,"Statistical Area 2","176800","Crawshaw","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176800","Crawshaw","Total","Total","3249",".."
2018,"Statistical Area 2","176800","Crawshaw","Total stated","Total stated","3249","100.0"
2018,"Statistical Area 2","176900","Huntington","1","European","1869"," 72.6"
2018,"Statistical Area 2","176900","Huntington","2","Maori","216","  8.4"
2018,"Statistical Area 2","176900","Huntington","3","Pacific peoples","33","  1.3"
2018,"Statistical Area 2","176900","Huntington","4","Asian","606"," 23.5"
2018,"Statistical Area 2","176900","Huntington","5","Middle Eastern/Latin American/African","33","  1.3"
2018,"Statistical Area 2","176900","Huntington","6","Other ethnicity","15","  0.6"
2018,"Statistical Area 2","176900","Huntington","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","176900","Huntington","Total","Total","2574",".."
2018,"Statistical Area 2","176900","Huntington","Total stated","Total stated","2574","100.0"
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","1","European","2106"," 72.3"
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","2","Maori","444"," 15.2"
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","3","Pacific peoples","123","  4.2"
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","4","Asian","576"," 19.8"
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","5","Middle Eastern/Latin American/African","60","  2.1"
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","6","Other ethnicity","27","  0.9"
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","Total","Total","2913",".."
2018,"Statistical Area 2","177000","Western Heights (Hamilton City)","Total stated","Total stated","2913","100.0"
2018,"Statistical Area 2","177100","Nawton West","1","European","2238"," 61.1"
2018,"Statistical Area 2","177100","Nawton West","2","Maori","1014"," 27.7"
2018,"Statistical Area 2","177100","Nawton West","3","Pacific peoples","285","  7.8"
2018,"Statistical Area 2","177100","Nawton West","4","Asian","663"," 18.1"
2018,"Statistical Area 2","177100","Nawton West","5","Middle Eastern/Latin American/African","54","  1.5"
2018,"Statistical Area 2","177100","Nawton West","6","Other ethnicity","57","  1.6"
2018,"Statistical Area 2","177100","Nawton West","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177100","Nawton West","Total","Total","3663",".."
2018,"Statistical Area 2","177100","Nawton West","Total stated","Total stated","3663","100.0"
2018,"Statistical Area 2","177200","Nawton East","1","European","2556"," 60.7"
2018,"Statistical Area 2","177200","Nawton East","2","Maori","1677"," 39.8"
2018,"Statistical Area 2","177200","Nawton East","3","Pacific peoples","393","  9.3"
2018,"Statistical Area 2","177200","Nawton East","4","Asian","441"," 10.5"
2018,"Statistical Area 2","177200","Nawton East","5","Middle Eastern/Latin American/African","42","  1.0"
2018,"Statistical Area 2","177200","Nawton East","6","Other ethnicity","33","  0.8"
2018,"Statistical Area 2","177200","Nawton East","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177200","Nawton East","Total","Total","4212",".."
2018,"Statistical Area 2","177200","Nawton East","Total stated","Total stated","4212","100.0"
2018,"Statistical Area 2","177300","Chartwell","1","European","1317"," 52.6"
2018,"Statistical Area 2","177300","Chartwell","2","Maori","858"," 34.3"
2018,"Statistical Area 2","177300","Chartwell","3","Pacific peoples","225","  9.0"
2018,"Statistical Area 2","177300","Chartwell","4","Asian","405"," 16.2"
2018,"Statistical Area 2","177300","Chartwell","5","Middle Eastern/Latin American/African","102","  4.1"
2018,"Statistical Area 2","177300","Chartwell","6","Other ethnicity","36","  1.4"
2018,"Statistical Area 2","177300","Chartwell","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177300","Chartwell","Total","Total","2502",".."
2018,"Statistical Area 2","177300","Chartwell","Total stated","Total stated","2502","100.0"
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","1","European","1833"," 73.7"
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","2","Maori","558"," 22.4"
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","3","Pacific peoples","117","  4.7"
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","4","Asian","276"," 11.1"
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","5","Middle Eastern/Latin American/African","42","  1.7"
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","6","Other ethnicity","27","  1.1"
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","Total","Total","2487",".."
2018,"Statistical Area 2","177400","Forest Lake (Hamilton City)","Total stated","Total stated","2487","100.0"
2018,"Statistical Area 2","177500","Chedworth","1","European","1380"," 75.8"
2018,"Statistical Area 2","177500","Chedworth","2","Maori","228"," 12.5"
2018,"Statistical Area 2","177500","Chedworth","3","Pacific peoples","66","  3.6"
2018,"Statistical Area 2","177500","Chedworth","4","Asian","276"," 15.2"
2018,"Statistical Area 2","177500","Chedworth","5","Middle Eastern/Latin American/African","33","  1.8"
2018,"Statistical Area 2","177500","Chedworth","6","Other ethnicity","30","  1.6"
2018,"Statistical Area 2","177500","Chedworth","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177500","Chedworth","Total","Total","1821",".."
2018,"Statistical Area 2","177500","Chedworth","Total stated","Total stated","1821","100.0"
2018,"Statistical Area 2","177600","Beerescourt","1","European","1761"," 79.3"
2018,"Statistical Area 2","177600","Beerescourt","2","Maori","354"," 15.9"
2018,"Statistical Area 2","177600","Beerescourt","3","Pacific peoples","99","  4.5"
2018,"Statistical Area 2","177600","Beerescourt","4","Asian","258"," 11.6"
2018,"Statistical Area 2","177600","Beerescourt","5","Middle Eastern/Latin American/African","27","  1.2"
2018,"Statistical Area 2","177600","Beerescourt","6","Other ethnicity","15","  0.7"
2018,"Statistical Area 2","177600","Beerescourt","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177600","Beerescourt","Total","Total","2220",".."
2018,"Statistical Area 2","177600","Beerescourt","Total stated","Total stated","2220","100.0"
2018,"Statistical Area 2","177700","Miropiko","1","European","2616"," 82.1"
2018,"Statistical Area 2","177700","Miropiko","2","Maori","456"," 14.3"
2018,"Statistical Area 2","177700","Miropiko","3","Pacific peoples","138","  4.3"
2018,"Statistical Area 2","177700","Miropiko","4","Asian","255","  8.0"
2018,"Statistical Area 2","177700","Miropiko","5","Middle Eastern/Latin American/African","54","  1.7"
2018,"Statistical Area 2","177700","Miropiko","6","Other ethnicity","48","  1.5"
2018,"Statistical Area 2","177700","Miropiko","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177700","Miropiko","Total","Total","3186",".."
2018,"Statistical Area 2","177700","Miropiko","Total stated","Total stated","3186","100.0"
2018,"Statistical Area 2","177800","Porritt","1","European","1449"," 55.0"
2018,"Statistical Area 2","177800","Porritt","2","Maori","840"," 31.9"
2018,"Statistical Area 2","177800","Porritt","3","Pacific peoples","252","  9.6"
2018,"Statistical Area 2","177800","Porritt","4","Asian","372"," 14.1"
2018,"Statistical Area 2","177800","Porritt","5","Middle Eastern/Latin American/African","120","  4.6"
2018,"Statistical Area 2","177800","Porritt","6","Other ethnicity","24","  0.9"
2018,"Statistical Area 2","177800","Porritt","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177800","Porritt","Total","Total","2634",".."
2018,"Statistical Area 2","177800","Porritt","Total stated","Total stated","2634","100.0"
2018,"Statistical Area 2","177900","Dinsdale North","1","European","3135"," 71.5"
2018,"Statistical Area 2","177900","Dinsdale North","2","Maori","1377"," 31.4"
2018,"Statistical Area 2","177900","Dinsdale North","3","Pacific peoples","273","  6.2"
2018,"Statistical Area 2","177900","Dinsdale North","4","Asian","402","  9.2"
2018,"Statistical Area 2","177900","Dinsdale North","5","Middle Eastern/Latin American/African","42","  1.0"
2018,"Statistical Area 2","177900","Dinsdale North","6","Other ethnicity","48","  1.1"
2018,"Statistical Area 2","177900","Dinsdale North","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","177900","Dinsdale North","Total","Total","4383",".."
2018,"Statistical Area 2","177900","Dinsdale North","Total stated","Total stated","4383","100.0"
2018,"Statistical Area 2","178000","Maeroa","1","European","2469"," 66.3"
2018,"Statistical Area 2","178000","Maeroa","2","Maori","1065"," 28.6"
2018,"Statistical Area 2","178000","Maeroa","3","Pacific peoples","243","  6.5"
2018,"Statistical Area 2","178000","Maeroa","4","Asian","450"," 12.1"
2018,"Statistical Area 2","178000","Maeroa","5","Middle Eastern/Latin American/African","69","  1.9"
2018,"Statistical Area 2","178000","Maeroa","6","Other ethnicity","60","  1.6"
2018,"Statistical Area 2","178000","Maeroa","9","Not elsewhere included","0",".."
2018,"Statistical Area 2","178000","Maeroa","Total","Total","3726",".."
2018,"Statistical Area 2","178000","Maeroa","Total stated","Total stated","3726","100.0"
2018,"Statistical Area 2","178100","Dinsdale South","1","European","2961"," 74.7"
2018,"Statistical Area 2","178100","Dinsdale South","2","Maori","1065"," 26.9"
2018,"Statistical Area 2","178100","Dinsdale South","3","Pacific peoples","210","  5.3"
2018,"Statistical Area 2","178100","Dinsdale South","4","Asian","369","  9.3"
