Statistical area 2 code (2018 areas),Statistical area 2 description,Territorial authority code (2018 areas) ,Territorial authority description,Local board code (2018 areas),Local board description,Ward code (2018 areas),Ward description,District health board code (2015 areas),District health board description,Regional council code (2018 areas) ,Regional council description
199600,Sunnybrook,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
199700,Fordlands,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
200000,Pomare,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
200600,Springfield South,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
199900,Utuhina,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
200200,Hillcrest (Rotorua District),024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
200700,Springfield North,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
200300,Victoria,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
200500,Glenholme North,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
200800,Glenholme South,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
201300,Tihiotonga-Whakarewarewa,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
201200,Fenton Park,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
201100,Ngapuna,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
201500,Lynmore,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
201700,Kaingaroa-Whakarewarewa,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,04,Bay of Plenty Region
201800,Golden Springs,024,Rotorua District,..,..,02499,Area Outside Ward,06,Lakes,03,Waikato Region
201900,Manawahe,025,Whakatane District,..,..,02501,Rangitaiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
202000,Matata-Otakiri,025,Whakatane District,..,..,02501,Rangitaiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
202300,Thornton-Awakeri,025,Whakatane District,..,..,02501,Rangitaiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
202500,Coastlands,025,Whakatane District,..,..,02501,Rangitaiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
202500,Coastlands,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
202100,Onepu Spring,025,Whakatane District,..,..,02501,Rangitaiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
202400,Te Teko Lakes,025,Whakatane District,..,..,02501,Rangitaiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
202200,Edgecumbe,025,Whakatane District,..,..,02501,Rangitaiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
202600,Whakatane West,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
202700,Whakatane Central,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
202800,Trident,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
202900,Allandale,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
203100,Wainui ,025,Whakatane District,..,..,02503,Taneatua-Waimana Ward,07,Bay of Plenty,04,Bay of Plenty Region
203000,Mokorua Bush,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
203100,Wainui ,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
203200,Ohope,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
203300,Inlet Ohiwa Harbour West,025,Whakatane District,..,..,02502,Whakatane-Ohope Ward,07,Bay of Plenty,04,Bay of Plenty Region
203300,Inlet Ohiwa Harbour West,025,Whakatane District,..,..,02503,Taneatua-Waimana Ward,07,Bay of Plenty,04,Bay of Plenty Region
203400,Galatea,025,Whakatane District,..,..,02504,Galatea-Murupara Ward,07,Bay of Plenty,04,Bay of Plenty Region
203400,Galatea,025,Whakatane District,..,..,02501,Rangitaiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
203500,Waingarara-Waimana,025,Whakatane District,..,..,02503,Taneatua-Waimana Ward,07,Bay of Plenty,04,Bay of Plenty Region
203600,Murupara,025,Whakatane District,..,..,02504,Galatea-Murupara Ward,07,Bay of Plenty,04,Bay of Plenty Region
203700,Monika Reserve,026,Kawerau District,..,..,02699,Area Outside Ward,07,Bay of Plenty,04,Bay of Plenty Region
203900,Tarawera Park,026,Kawerau District,..,..,02699,Area Outside Ward,07,Bay of Plenty,04,Bay of Plenty Region
203800,Kawerau Industrial,026,Kawerau District,..,..,02699,Area Outside Ward,07,Bay of Plenty,04,Bay of Plenty Region
204200,Cape Runaway,027,Opotiki District,..,..,02701,Coast Ward,07,Bay of Plenty,04,Bay of Plenty Region
204000,Inlet Ohiwa Harbour East,027,Opotiki District,..,..,02702,Waioeka-Waiotahi Ward,07,Bay of Plenty,04,Bay of Plenty Region
204100,Waiotahi,027,Opotiki District,..,..,02702,Waioeka-Waiotahi Ward,07,Bay of Plenty,04,Bay of Plenty Region
204100,Waiotahi,027,Opotiki District,..,..,02703,Opotiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
204400,Opotiki,027,Opotiki District,..,..,02703,Opotiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
204600,Oponae,027,Opotiki District,..,..,02702,Waioeka-Waiotahi Ward,07,Bay of Plenty,04,Bay of Plenty Region
204400,Opotiki,027,Opotiki District,..,..,02702,Waioeka-Waiotahi Ward,07,Bay of Plenty,04,Bay of Plenty Region
204500,Otara-Tirohanga ,027,Opotiki District,..,..,02702,Waioeka-Waiotahi Ward,07,Bay of Plenty,04,Bay of Plenty Region
204300,Woodlands,027,Opotiki District,..,..,02703,Opotiki Ward,07,Bay of Plenty,04,Bay of Plenty Region
204700,East Cape,028,Gisborne District,..,..,02801,Matakaoa-Waiapu Ward,08,Tairawhiti,05,Gisborne Region
204900,Ruatoria-Raukumara,028,Gisborne District,..,..,02801,Matakaoa-Waiapu Ward,08,Tairawhiti,05,Gisborne Region
205000,Tokomaru,028,Gisborne District,..,..,02803,Tawhiti-Uawa Ward,08,Tairawhiti,05,Gisborne Region
204800,Waipaoa,028,Gisborne District,..,..,02802,Waipaoa Ward,08,Tairawhiti,05,Gisborne Region
205200,Wharekaka,028,Gisborne District,..,..,02803,Tawhiti-Uawa Ward,08,Tairawhiti,05,Gisborne Region
205200,Wharekaka,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
205100,Hangaroa,028,Gisborne District,..,..,02802,Waipaoa Ward,08,Tairawhiti,05,Gisborne Region
205300,Te Arai,028,Gisborne District,..,..,02804,Taruheru-Patutahi Ward,08,Tairawhiti,05,Gisborne Region
205400,Hexton,028,Gisborne District,..,..,02804,Taruheru-Patutahi Ward,08,Tairawhiti,05,Gisborne Region
205400,Hexton,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
205600,Makaraka-Awapuni,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
205700,Riverdale,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
205800,Te Hapara North,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206100,Te Hapara South,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206000,Elgin,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
205500,Lytton,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206500,Centennial Crescent,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
205900,Mangapapa North,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206300,Mangapapa South,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206400,Te Hapara East,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206200,Mangapapa East,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206700,Whataupoko West,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206800,Gisborne Central,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206600,Whataupoko East,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
206900,Kaiti North,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
207000,Kaiti South,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
207100,Outer Kaiti,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
207200,Tamarau,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
207300,Wainui-Okitu,028,Gisborne District,..,..,02805,Gisborne Ward,08,Tairawhiti,05,Gisborne Region
207400,Maungataniwha-Raupunga,029,Wairoa District,..,..,02999,Area Outside Ward,10,Hawke's Bay,06,Hawke's Bay Region
207600,Frasertown-Ruakituri,029,Wairoa District,..,..,02999,Area Outside Ward,10,Hawke's Bay,06,Hawke's Bay Region
207500,Inland water Lake Waikaremoana,029,Wairoa District,..,..,02999,Area Outside Ward,10,Hawke's Bay,06,Hawke's Bay Region
207700,Whakaki,029,Wairoa District,..,..,02999,Area Outside Ward,10,Hawke's Bay,06,Hawke's Bay Region
207900,Mahia,029,Wairoa District,..,..,02999,Area Outside Ward,10,Hawke's Bay,06,Hawke's Bay Region
207800,Wairoa,029,Wairoa District,..,..,02999,Area Outside Ward,10,Hawke's Bay,06,Hawke's Bay Region
208000,Puketitiri-Tutira,030,Hastings District,..,..,03001,Mohaka Ward,10,Hawke's Bay,06,Hawke's Bay Region
208100,Sherenden-Crownthorpe,030,Hastings District,..,..,03001,Mohaka Ward,10,Hawke's Bay,06,Hawke's Bay Region
208300,Puketapu-Eskdale,030,Hastings District,..,..,03001,Mohaka Ward,10,Hawke's Bay,06,Hawke's Bay Region
208200,Maraekakaho,030,Hastings District,..,..,03005,Kahuranaki Ward,10,Hawke's Bay,06,Hawke's Bay Region
208400,Omahu-Pakowhai,030,Hastings District,..,..,03001,Mohaka Ward,10,Hawke's Bay,06,Hawke's Bay Region
208400,Omahu-Pakowhai,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
208500,Bridge Pa,030,Hastings District,..,..,03005,Kahuranaki Ward,10,Hawke's Bay,06,Hawke's Bay Region
208500,Bridge Pa,030,Hastings District,..,..,03004,Flaxmere Ward,10,Hawke's Bay,06,Hawke's Bay Region
208500,Bridge Pa,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
208800,Flaxmere West,030,Hastings District,..,..,03004,Flaxmere Ward,10,Hawke's Bay,06,Hawke's Bay Region
209000,Lochain Park,030,Hastings District,..,..,03004,Flaxmere Ward,10,Hawke's Bay,06,Hawke's Bay Region
209100,Flaxmere Park,030,Hastings District,..,..,03004,Flaxmere Ward,10,Hawke's Bay,06,Hawke's Bay Region
208600,Twyford,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
209200,Flaxmere South,030,Hastings District,..,..,03004,Flaxmere Ward,10,Hawke's Bay,06,Hawke's Bay Region
208900,Omahu Strip,030,Hastings District,..,..,03004,Flaxmere Ward,10,Hawke's Bay,06,Hawke's Bay Region
208900,Omahu Strip,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
209300,Irongate,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
209300,Irongate,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
209500,Camberley,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
209400,Frimley,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
209900,Raureka,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
209900,Raureka,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
210000,Cornwall Park,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
209700,St Leonards,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
208600,Twyford,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
209800,Mahora,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
210600,Tomoana Crossing,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
210500,Hastings Central,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
210100,Tomoana,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
210100,Tomoana,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
210900,Mayfair,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
210400,Karamu,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
210400,Karamu,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
210900,Mayfair,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
211200,Mangateretere,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
209600,Clive,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
211300,Haumoana-Te Awanga,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
211200,Mangateretere,030,Hastings District,..,..,03005,Kahuranaki Ward,10,Hawke's Bay,06,Hawke's Bay Region
208700,Poukawa,030,Hastings District,..,..,03005,Kahuranaki Ward,10,Hawke's Bay,06,Hawke's Bay Region
210200,Longlands-Pukahu,030,Hastings District,..,..,03005,Kahuranaki Ward,10,Hawke's Bay,06,Hawke's Bay Region
210200,Longlands-Pukahu,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
210200,Longlands-Pukahu,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
210300,Raceway Park,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
212200,Kahuranaki,030,Hastings District,..,..,03005,Kahuranaki Ward,10,Hawke's Bay,06,Hawke's Bay Region
210700,Akina Park,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
210800,Queens Square,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
211000,Parkhaven,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
211000,Parkhaven,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
211100,Parkvale,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
211100,Parkvale,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
212000,Te Mata Hills,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
211400,Lucknow,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
211800,Iona,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
211800,Iona,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
212100,Havelock Hills,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
212100,Havelock Hills,030,Hastings District,..,..,03002,Heretaunga Ward,10,Hawke's Bay,06,Hawke's Bay Region
211500,Karanema-St Hill,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
211600,Havelock North-Central,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
211900,Hereworth,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
212000,Te Mata Hills,030,Hastings District,..,..,03005,Kahuranaki Ward,10,Hawke's Bay,06,Hawke's Bay Region
212000,Te Mata Hills,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
211700,Brookvale,030,Hastings District,..,..,03003,Hastings-Havelock North Ward,10,Hawke's Bay,06,Hawke's Bay Region
212300,Bay View,031,Napier City,..,..,03101,Ahuriri Ward,10,Hawke's Bay,06,Hawke's Bay Region
212400,Poraiti Hills,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
213200,Taradale South,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
213000,Taradale West,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
214900,Tareha Reserve,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
213100,Greenmeadows West,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
214000,Greenmeadows Central,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
213700,Taradale Central,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
214600,Bledisloe Park,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
212500,Poraiti Flat,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
213500,Tamatea West,031,Napier City,..,..,03102,Onekawa-Tamatea Ward,10,Hawke's Bay,06,Hawke's Bay Region
213800,Tamatea East,031,Napier City,..,..,03102,Onekawa-Tamatea Ward,10,Hawke's Bay,06,Hawke's Bay Region
215400,Meeanee-Awatoto,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
214400,Greenmeadows South,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
212600,Westshore,031,Napier City,..,..,03101,Ahuriri Ward,10,Hawke's Bay,06,Hawke's Bay Region
213600,Tamatea North,031,Napier City,..,..,03102,Onekawa-Tamatea Ward,10,Hawke's Bay,06,Hawke's Bay Region
214200,Pirimai West,031,Napier City,..,..,03102,Onekawa-Tamatea Ward,10,Hawke's Bay,06,Hawke's Bay Region
214700,Pirimai East,031,Napier City,..,..,03103,Nelson Park Ward,10,Hawke's Bay,06,Hawke's Bay Region
214700,Pirimai East,031,Napier City,..,..,03104,Taradale Ward,10,Hawke's Bay,06,Hawke's Bay Region
212700,Inlet Napier City,031,Napier City,..,..,03101,Ahuriri Ward,10,Hawke's Bay,06,Hawke's Bay Region
212800,Onekawa West,031,Napier City,..,..,03101,Ahuriri Ward,10,Hawke's Bay,06,Hawke's Bay Region
212800,Onekawa West,031,Napier City,..,..,03102,Onekawa-Tamatea Ward,10,Hawke's Bay,06,Hawke's Bay Region
214100,Onekawa Central,031,Napier City,..,..,03102,Onekawa-Tamatea Ward,10,Hawke's Bay,06,Hawke's Bay Region
215100,Onekawa South,031,Napier City,..,..,03103,Nelson Park Ward,10,Hawke's Bay,06,Hawke's Bay Region
212900,Ahuriri,031,Napier City,..,..,03101,Ahuriri Ward,10,Hawke's Bay,06,Hawke's Bay Region
213400,Hospital Hill,031,Napier City,..,..,03101,Ahuriri Ward,10,Hawke's Bay,06,Hawke's Bay Region
213900,Marewa West,031,Napier City,..,..,03102,Onekawa-Tamatea Ward,10,Hawke's Bay,06,Hawke's Bay Region
215000,Marewa East,031,Napier City,..,..,03103,Nelson Park Ward,10,Hawke's Bay,06,Hawke's Bay Region
214800,Onekawa East,031,Napier City,..,..,03103,Nelson Park Ward,10,Hawke's Bay,06,Hawke's Bay Region
215300,Maraenui,031,Napier City,..,..,03103,Nelson Park Ward,10,Hawke's Bay,06,Hawke's Bay Region
213300,Bluff Hill,031,Napier City,..,..,03101,Ahuriri Ward,10,Hawke's Bay,06,Hawke's Bay Region
214300,Napier Central,031,Napier City,..,..,03101,Ahuriri Ward,10,Hawke's Bay,06,Hawke's Bay Region
214300,Napier Central,031,Napier City,..,..,03103,Nelson Park Ward,10,Hawke's Bay,06,Hawke's Bay Region
214500,Nelson Park,031,Napier City,..,..,03103,Nelson Park Ward,10,Hawke's Bay,06,Hawke's Bay Region
215200,McLean Park,031,Napier City,..,..,03103,Nelson Park Ward,10,Hawke's Bay,06,Hawke's Bay Region
215500,Mangaonuku,032,Central Hawke's Bay District,..,..,03201,Aramoana-Ruahine Ward,10,Hawke's Bay,06,Hawke's Bay Region
215600,Makaretu,032,Central Hawke's Bay District,..,..,03201,Aramoana-Ruahine Ward,10,Hawke's Bay,06,Hawke's Bay Region
215600,Makaretu,032,Central Hawke's Bay District,..,..,03202,Ruataniwha Ward,10,Hawke's Bay,06,Hawke's Bay Region
215900,Mangarara,032,Central Hawke's Bay District,..,..,03202,Ruataniwha Ward,10,Hawke's Bay,06,Hawke's Bay Region
215900,Mangarara,032,Central Hawke's Bay District,..,..,03201,Aramoana-Ruahine Ward,10,Hawke's Bay,06,Hawke's Bay Region
215700,Waipawa,032,Central Hawke's Bay District,..,..,03202,Ruataniwha Ward,10,Hawke's Bay,06,Hawke's Bay Region
215700,Waipawa,032,Central Hawke's Bay District,..,..,03201,Aramoana-Ruahine Ward,10,Hawke's Bay,06,Hawke's Bay Region
216100,Taurekaitai,032,Central Hawke's Bay District,..,..,03201,Aramoana-Ruahine Ward,10,Hawke's Bay,06,Hawke's Bay Region
216100,Taurekaitai,032,Central Hawke's Bay District,..,..,03202,Ruataniwha Ward,10,Hawke's Bay,06,Hawke's Bay Region
215800,Waipukurau West,032,Central Hawke's Bay District,..,..,03202,Ruataniwha Ward,10,Hawke's Bay,06,Hawke's Bay Region
216000,Waipukurau East,032,Central Hawke's Bay District,..,..,03202,Ruataniwha Ward,10,Hawke's Bay,06,Hawke's Bay Region
219200,Mount Messenger,033,New Plymouth District,..,..,03302,North Ward,09,Taranaki,07,Taranaki Region
216400,Omata,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
216300,Spotswood,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
216200,Port Taranaki,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
216600,Moturoa,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
216800,Blagdon-Lynmouth,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
217100,Marfell,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
217400,Westown ,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
217000,New Plymouth Central,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
216900,Kawaroa,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218000,Frankleigh Park,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218300,Welbourn,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
217800,Lower Vogeltown,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
217300,Strandon,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218400,Fitzroy-Glen Avon,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218100,Merrilands,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218700,Highlands Park (New Plymouth District),033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
217500,Bell Block West,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
217700,Waiwhakaiho-Bell Block South,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218800,Paraite,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
219300,Mangaoraka,033,New Plymouth District,..,..,03303,South-West Ward,09,Taranaki,07,Taranaki Region
217600,Bell Block East,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
219500,Everett Park,033,New Plymouth District,..,..,03303,South-West Ward,09,Taranaki,07,Taranaki Region
217600,Bell Block East,033,New Plymouth District,..,..,03302,North Ward,09,Taranaki,07,Taranaki Region
219000,Lepperton-Brixton,033,New Plymouth District,..,..,03302,North Ward,09,Taranaki,07,Taranaki Region
219000,Lepperton-Brixton,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218500,Waitara West,033,New Plymouth District,..,..,03302,North Ward,09,Taranaki,07,Taranaki Region
219500,Everett Park,033,New Plymouth District,..,..,03302,North Ward,09,Taranaki,07,Taranaki Region
218900,Waitara East,033,New Plymouth District,..,..,03302,North Ward,09,Taranaki,07,Taranaki Region
219400,Tikorangi,033,New Plymouth District,..,..,03302,North Ward,09,Taranaki,07,Taranaki Region
219700,Tarata,033,New Plymouth District,..,..,03303,South-West Ward,09,Taranaki,07,Taranaki Region
216700,Kaitake,033,New Plymouth District,..,..,03303,South-West Ward,09,Taranaki,07,Taranaki Region
216500,Oakura,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
216500,Oakura,033,New Plymouth District,..,..,03303,South-West Ward,09,Taranaki,07,Taranaki Region
219100,Mangorei,033,New Plymouth District,..,..,03303,South-West Ward,09,Taranaki,07,Taranaki Region
217200,Whalers Gate,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
217900,Hurdon,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218200,Ferndale,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
218600,Upper Vogeltown,033,New Plymouth District,..,..,03301,New Plymouth City Ward,09,Taranaki,07,Taranaki Region
219600,Inglewood,033,New Plymouth District,..,..,03303,South-West Ward,09,Taranaki,07,Taranaki Region
